,S&P500,Gold,DJIA,NASDAQ,10_Year
Date,,,,,
1/1/1971,95.879997,37.868,93.49,118.870003,6.09
2/1/1971,96.75,38.716,101.339996,125.379997,6.14
3/1/1971,100.309998,38.873,105.970001,128.139999,5.53
4/1/1971,103.949997,39.001,112.300003,131.330002,6.08
5/1/1971,99.629997,40.493,108.25,132.529999,6.38
6/1/1971,98.699997,40.105,107.800003,130.080002,6.7
7/1/1971,95.580002,40.929,105.269997,127.75,6.85
8/1/1971,99.029999,42.722,108.419998,129.949997,6.28
9/1/1971,98.339996,41.976,109.029999,129.610001,6
10/1/1971,94.230003,42.473,105.099998,130.240005,5.87
11/1/1971,93.989998,42.842,103.970001,132.960007,5.93
12/1/1971,102.089996,43.455,114.120003,133.729996,5.89
1/1/1972,103.940002,45.64,118.870003,128.399994,6.09
2/1/1972,106.57,48.237,125.379997,120.410004,6.04
3/1/1972,107.199997,48.288,128.139999,117.459999,6.12
4/1/1972,107.669998,49.026,131.330002,107.849998,6.14
5/1/1972,109.529999,54.5,132.529999,102.639999,6.05
6/1/1972,107.139999,62.17,130.080002,100.980003,6.15
7/1/1972,107.389999,65.558,127.75,108.639999,6.12
8/1/1972,111.089996,66.917,129.949997,104.870003,6.42
9/1/1972,110.550003,65.589,129.610001,111.199997,6.54
10/1/1972,111.580002,64.824,130.240005,110.169998,6.41
11/1/1972,116.669998,62.726,132.960007,93.510002,6.28
12/1/1972,118.050003,63.779,133.729996,92.190002,6.41
1/1/1973,116.029999,65.127,128.399994,94.93,6.54
2/1/1973,111.68,73.971,120.410004,94.349998,6.64
3/1/1973,111.519997,84.105,117.459999,92.269997,6.73
4/1/1973,106.970001,90.441,107.849998,86.860001,6.7
5/1/1973,104.949997,101.623,102.639999,80.199997,6.93
6/1/1973,104.260002,119.8,100.980003,75.959999,6.94
7/1/1973,108.220001,120.364,108.639999,69.989998,7.43
8/1/1973,104.25,106.225,104.870003,62.369999,7.25
9/1/1973,108.43,103.034,111.199997,55.669998,6.9
10/1/1973,108.290001,99.923,110.169998,65.230003,6.71
11/1/1973,95.959999,94.645,93.510002,62.950001,6.69
12/1/1973,97.550003,106.236,92.190002,59.82,6.9
1/1/1974,96.57,129.027,94.93,69.779999,7
2/1/1974,96.220001,150,94.349998,73,7.01
3/1/1974,93.980003,168.298,92.269997,75.660004,7.41
4/1/1974,90.309998,172.243,86.860001,78.540001,7.66
5/1/1974,87.279999,163.568,80.199997,83.099998,7.52
6/1/1974,86,154.013,75.959999,87.019997,7.64
7/1/1974,79.309998,142.283,69.989998,83.190002,7.89
8/1/1974,72.150002,154.362,62.369999,79.010002,8.11
9/1/1974,63.540001,151.66,55.669998,74.330002,7.94
10/1/1974,73.900002,158.533,65.230003,76.989998,7.79
11/1/1974,69.970001,181.483,62.950001,78.800003,7.64
12/1/1974,68.559998,183.683,59.82,77.620003,7.4
1/1/1975,76.980003,176.864,69.779999,87.050003,7.53
2/1/1975,81.589996,179.553,73,90.260002,7.46
3/1/1975,83.360001,178.203,75.660004,90.620003,8.01
4/1/1975,87.300003,170.066,78.540001,90.080002,8.31
5/1/1975,91.150002,167.293,83.099998,88.040001,8.04
6/1/1975,95.190002,164.25,87.019997,90.32,7.96
7/1/1975,88.75,164.867,83.190002,91.290001,8.2
8/1/1975,86.879997,163.168,79.010002,89.699997,8.22
9/1/1975,83.870003,144.311,74.330002,91.260002,8.48
10/1/1975,89.040001,142.691,76.989998,90.349998,7.91
11/1/1975,91.239998,142.565,78.800003,91.120003,8.14
12/1/1975,90.190002,139.279,77.620003,97.879997,7.76
1/1/1976,100.860001,131.695,87.050003,95.540001,7.8
2/1/1976,99.709999,130.94,90.260002,94.57,7.77
3/1/1976,102.769997,132.676,90.620003,94.129997,7.66
4/1/1976,101.639999,127.91,90.080002,95.480003,7.67
5/1/1976,100.18,126.913,88.040001,95.589996,7.96
6/1/1976,104.279999,125.684,90.32,99.730003,7.86
7/1/1976,103.440002,117.866,91.290001,100.650002,7.86
8/1/1976,102.910004,110.055,89.699997,100.099998,7.66
9/1/1976,105.239998,114.098,91.260002,100.849998,7.55
10/1/1976,102.900002,116.095,90.349998,97.519997,7.42
11/1/1976,102.099998,130.341,91.120003,103.150002,7.01
12/1/1976,107.459999,133.674,97.879997,105.050003,6.81
1/1/1977,102.029999,132.306,95.540001,100.839996,7.4
2/1/1977,99.82,136.163,94.57,101.470001,7.45
3/1/1977,98.419998,148.339,94.129997,106.199997,7.42
4/1/1977,98.440002,149.184,95.480003,115.18,7.45
5/1/1977,96.120003,146.536,95.589996,120.239998,7.38
6/1/1977,100.480003,140.828,99.730003,120.300003,7.2
7/1/1977,98.849998,143.383,100.650002,126.32,7.42
8/1/1977,96.769997,145.009,100.099998,135.009995,7.28
9/1/1977,96.529999,149.334,100.849998,132.889999,7.41
10/1/1977,92.339996,158.848,97.519997,111.120003,7.62
11/1/1977,94.830002,162.132,103.150002,114.690002,7.55
12/1/1977,95.099998,160.48,105.050003,117.980003,7.78
1/1/1978,89.25,173.207,100.839996,125.82,7.94
2/1/1978,87.040001,178.36,101.470001,122.559998,8.04
3/1/1978,89.209999,183.771,106.199997,131.759995,8.15
4/1/1978,96.830002,175.323,115.18,133.820007,8.24
5/1/1978,97.239998,176.19,120.239998,131.419998,8.42
6/1/1978,95.529999,183.761,120.300003,138.130005,8.62
7/1/1978,100.68,188.569,126.32,141.330002,8.56
8/1/1978,103.290001,206.455,135.009995,150.440002,8.39
9/1/1978,102.540001,212.212,132.889999,149.979996,8.56
10/1/1978,93.150002,227.432,111.120003,135.529999,8.96
11/1/1978,94.699997,207.082,114.690002,144.259995,8.86
12/1/1978,96.110001,207.895,117.980003,151.139999,9.15
1/1/1979,99.93,226.986,125.82,161.75,8.95
2/1/1979,96.279999,245.59,122.559998,158.029999,9.17
3/1/1979,101.589996,242.348,131.759995,131,9.11
4/1/1979,101.760002,239.174,133.820007,139.990005,9.35
5/1/1979,99.080002,257.738,131.419998,150.449997,9.06
6/1/1979,102.910004,279.36,138.130005,157.779999,8.81
7/1/1979,103.809998,295.009,141.330002,171.809998,9.01
8/1/1979,109.32,300.793,150.440002,181.520004,9.24
9/1/1979,109.32,354.498,149.979996,187.759995,9.44
10/1/1979,101.82,390.959,135.529999,192.779999,10.72
11/1/1979,106.160004,391.518,144.259995,208.149994,10.38
12/1/1979,107.940002,463.666,151.139999,202.339996,10.33
1/1/1980,114.160004,674.58,161.75,197.809998,11.13
2/1/1980,113.660004,665.893,158.029999,198.009995,12.72
3/1/1980,102.089996,554.276,131,210.179993,12.64
4/1/1980,106.290001,516.71,139.990005,216.740005,10.76
5/1/1980,111.239998,514.268,150.449997,223.470001,10.25
6/1/1980,114.239998,600.786,157.779999,215.75,10.09
7/1/1980,121.669998,645.75,171.809998,211.630005,10.76
8/1/1980,122.379997,626.36,181.520004,195.75,11.55
9/1/1980,125.459999,673.941,187.759995,180.029999,11.86
10/1/1980,127.470001,662.27,192.779999,195.240005,12.46
11/1/1980,140.520004,623.875,208.149994,201.369995,12.72
12/1/1980,135.759995,596.712,202.339996,195.839996,12.43
1/1/1981,129.550003,557.813,197.809998,188.389999,12.68
2/1/1981,131.270004,500.8,198.009995,179.429993,13.43
3/1/1981,136,499.693,210.179993,175.649994,13.13
4/1/1981,132.809998,496.625,216.740005,184.699997,14.11
5/1/1981,132.589996,480.316,223.470001,178.539993,13.5
6/1/1981,131.210007,460.5,215.75,171.300003,13.86
7/1/1981,130.919998,409.284,211.630005,167.350006,14.67
8/1/1981,122.790001,410.24,195.75,177.710007,15.41
9/1/1981,116.18,443.773,180.029999,187.649994,15.84
10/1/1981,121.889999,437.68,195.240005,212.630005,14.63
11/1/1981,126.349998,413.405,201.369995,232.309998,13.13
12/1/1981,122.550003,410.119,195.839996,232.410004,13.98
1/1/1982,120.400002,384.163,188.389999,248.350006,14.14
2/1/1982,113.110001,374.458,179.429993,260.670013,14.03
3/1/1982,111.959999,330.413,175.649994,270.799988,14.18
4/1/1982,116.440002,350.335,184.699997,293.059998,13.87
5/1/1982,111.879997,334.505,178.539993,308.730011,13.71
6/1/1982,109.610001,314.961,171.300003,318.700012,14.44
7/1/1982,107.089996,337.895,167.350006,303.959991,13.68
8/1/1982,119.510002,363.413,177.710007,292.420013,12.81
9/1/1982,120.419998,438.15,187.649994,296.649994,11.73
10/1/1982,133.720001,422.786,212.630005,274.549988,10.71
11/1/1982,138.529999,415.114,232.309998,285.670013,10.79
12/1/1982,140.639999,444.776,232.410004,278.600006,10.36
1/1/1983,145.300003,481.838,248.350006,268.429993,10.8
2/1/1983,148.059998,493.488,260.670013,252.570007,10.27
3/1/1983,152.960007,420.707,270.799988,250.779999,10.62
4/1/1983,164.429993,433.171,293.059998,247.440002,10.27
5/1/1983,162.389999,437.393,308.730011,232.820007,10.81
6/1/1983,167.639999,413.148,318.700012,239.649994,10.96
7/1/1983,162.559998,422.645,303.959991,229.699997,11.76
8/1/1983,164.399994,416.205,292.420013,254.639999,11.98
9/1/1983,166.070007,412.245,296.649994,249.940002,11.44
10/1/1983,163.550003,394.245,274.549988,247,11.74
11/1/1983,166.399994,381.016,285.670013,242.399994,11.63
12/1/1983,164.929993,388.06,278.600006,247.100006,11.82
1/1/1984,163.410004,370.735,268.429993,278.700012,11.67
2/1/1984,157.059998,386.038,252.570007,284.200012,12.04
3/1/1984,159.179993,394.743,250.779999,279.200012,12.53
4/1/1984,160.050003,381.371,247.440002,280.600006,12.82
5/1/1984,150.550003,376.957,232.820007,290.799988,13.91
6/1/1984,153.179993,378.314,239.649994,296.200012,13.84
7/1/1984,150.660004,347.598,229.699997,301.299988,12.91
8/1/1984,166.679993,347.677,254.639999,297.700012,12.79
9/1/1984,166.100006,340.945,249.940002,280.299988,12.47
10/1/1984,166.089996,340.217,247,292.5,11.79
11/1/1984,163.580002,341.286,242.399994,314,11.58
12/1/1984,167.240005,319.622,247.100006,324.899994,11.55
1/1/1985,179.630005,302.852,278.700012,335.799988,11.17
2/1/1985,181.179993,299.833,284.200012,359.5,11.91
3/1/1985,180.660004,303.205,279.200012,374.700012,11.65
4/1/1985,179.830002,324.883,280.600006,383.200012,11.41
5/1/1985,189.550003,316.395,290.799988,400.200012,10.28
6/1/1985,191.850006,316.298,296.200012,405.5,10.25
7/1/1985,190.919998,317.202,301.299988,371.399994,10.57
8/1/1985,188.630005,330.131,297.700012,382.899994,10.28
9/1/1985,182.080002,323.764,280.299988,350.700012,10.31
10/1/1985,189.820007,326.093,292.5,360.799988,10.01
11/1/1985,202.169998,325.548,314,359.600006,9.59
12/1/1985,211.279999,321.985,324.899994,348.799988,9
1/1/1986,211.779999,345.561,335.799988,392.100006,9.08
2/1/1986,226.919998,339.053,359.5,425,8.13
3/1/1986,238.899994,346.095,374.700012,430.100006,7.39
4/1/1986,235.520004,340.716,383.200012,417.799988,7.38
5/1/1986,247.350006,342.325,400.200012,416.5,8.05
6/1/1986,250.839996,342.798,405.5,424.700012,7.35
7/1/1986,236.119995,348.554,371.399994,434.899994,7.34
8/1/1986,252.929993,376.29,382.899994,455,6.95
9/1/1986,231.320007,418.152,350.700012,444.299988,7.45
10/1/1986,243.979996,423.863,360.799988,323.299988,7.34
11/1/1986,249.220001,396.983,359.600006,305.200012,7.15
12/1/1986,242.169998,391.595,348.799988,330.5,7.23
1/1/1987,274.079987,408.524,392.100006,344.700012,7.18
2/1/1987,284.200012,401.045,425,367,7.19
3/1/1987,291.700012,408.848,430.100006,374.600006,7.51
4/1/1987,288.359985,439.665,417.799988,379.200012,8.21
5/1/1987,290.100006,461.65,416.5,370.299988,8.49
6/1/1987,304,449.282,424.700012,394.700012,8.38
7/1/1987,318.660004,450.33,434.899994,387.299988,8.66
8/1/1987,329.799988,460.988,455,376.600006,9
9/1/1987,321.829987,460.12,444.299988,387.700012,9.63
10/1/1987,251.789993,465.764,323.299988,382.5,8.88
11/1/1987,230.300003,468.14,305.200012,371.5,8.99
12/1/1987,247.080002,487.079,330.5,381.399994,8.83
1/1/1988,257.070007,477.758,344.700012,401.299988,8.26
2/1/1988,267.820007,442.124,367,399.700012,8.16
3/1/1988,258.890015,443.491,374.600006,406.700012,8.57
4/1/1988,261.329987,451.558,379.200012,427.600006,8.87
5/1/1988,262.160004,451.32,370.299988,446.200012,9.2
6/1/1988,273.5,451.657,394.700012,435.299988,8.82
7/1/1988,272.019989,437.452,387.299988,453.799988,9.12
8/1/1988,261.519989,431.064,376.600006,469.299988,9.25
9/1/1988,271.910004,413.439,387.700012,472.899994,8.87
10/1/1988,278.970001,406.39,382.5,455.600006,8.65
11/1/1988,273.700012,419.966,371.5,456.100006,9.06
12/1/1988,277.720001,419.248,381.399994,454.799988,9.14
1/1/1989,297.470001,404.445,401.299988,415.799988,9.01
2/1/1989,288.859985,387.973,399.700012,425.799988,9.32
3/1/1989,294.869995,390.274,406.700012,435.5,9.3
4/1/1989,309.640015,384.72,427.600006,420.100006,9.02
5/1/1989,320.519989,371.35,446.200012,459,8.6
6/1/1989,317.980011,367.727,435.299988,462.299988,8.1
7/1/1989,346.079987,375.21,453.799988,438.200012,7.82
8/1/1989,351.450012,365.548,469.299988,381.200012,8.26
9/1/1989,349.149994,361.798,472.899994,344.5,8.31
10/1/1989,340.359985,366.8,455.600006,329.799988,7.92
11/1/1989,345.98999,394.361,456.100006,359.100006,7.84
12/1/1989,353.399994,409.655,454.799988,373.799988,7.93
1/1/1990,329.079987,410.118,415.799988,414.200012,8.43
2/1/1990,331.890015,416.543,425.799988,453.100006,8.51
3/1/1990,339.940002,393.661,435.5,482.299988,8.65
4/1/1990,330.799988,374.929,420.100006,484.720001,9.04
5/1/1990,361.230011,368.855,459,506.109985,8.6
6/1/1990,358.019989,352.657,462.299988,475.920013,8.43
7/1/1990,356.149994,361.82,438.200012,502.040009,8.36
8/1/1990,322.559998,394.861,381.200012,525.679993,8.86
9/1/1990,306.049988,389.56,344.5,526.880005,8.82
10/1/1990,304,381.333,329.799988,542.97998,8.65
11/1/1990,322.220001,381.866,359.100006,523.900024,8.26
12/1/1990,330.220001,378.161,373.799988,586.340027,8.08
1/1/1991,343.929993,384.591,414.200012,620.210022,8.03
2/1/1991,367.070007,363.748,453.100006,633.469971,8.02
3/1/1991,375.220001,363.39,482.299988,603.77002,8.05
4/1/1991,375.339996,358.055,484.720001,578.679993,8.02
5/1/1991,389.829987,357.117,506.109985,585.309998,8.06
6/1/1991,371.160004,366.36,475.920013,563.599976,8.24
7/1/1991,387.809998,368.013,502.040009,580.830017,8.2
8/1/1991,395.429993,356.721,525.679993,563.119995,7.82
9/1/1991,387.859985,348.46,526.880005,583.27002,7.47
10/1/1991,392.450012,358.826,542.97998,605.169983,7.47
11/1/1991,375.220001,359.96,523.900024,652.72998,7.38
12/1/1991,417.089996,361.875,586.340027,676.950012,6.71
1/1/1992,408.779999,354.436,620.210022,696.340027,7.31
2/1/1992,412.700012,353.853,633.469971,670.77002,7.27
3/1/1992,403.690002,344.641,603.77002,690.130005,7.54
4/1/1992,414.950012,338.728,578.679993,661.419983,7.61
5/1/1992,415.350006,337.039,585.309998,700.530029,7.33
6/1/1992,408.140015,340.784,563.599976,703.950012,7.14
7/1/1992,424.209991,352.452,580.830017,704.700012,6.72
8/1/1992,414.029999,343.603,563.119995,742.840027,6.62
9/1/1992,417.799988,345.3,583.27002,762.780029,6.37
10/1/1992,418.679993,344.277,605.169983,779.26001,6.8
11/1/1992,431.350006,334.924,652.72998,754.390015,6.95
12/1/1992,435.709991,334.657,676.950012,776.799988,6.7
1/1/1993,438.779999,328.993,696.340027,800.469971,6.39
2/1/1993,443.380005,329.31,670.77002,792.5,6.03
3/1/1993,451.670013,329.974,690.130005,743.460022,6.03
4/1/1993,440.190002,341.948,661.419983,733.840027,6.05
5/1/1993,450.190002,367.045,700.530029,735.190002,6.16
6/1/1993,450.529999,371.914,703.950012,705.960022,5.8
7/1/1993,448.130005,392.034,704.700012,722.159973,5.83
8/1/1993,463.559998,379.795,742.840027,765.619995,5.45
9/1/1993,458.929993,355.561,762.780029,764.289978,5.4
10/1/1993,467.829987,364.005,779.26001,777.48999,5.388
11/1/1993,461.790009,373.939,754.390015,750.320007,5.795
12/1/1993,466.450012,383.243,776.799988,751.960022,5.783
1/1/1994,481.609985,387.11,800.469971,755.200012,5.638
2/1/1994,467.140015,381.658,792.5,793.72998,6.15
3/1/1994,445.769989,384,743.460022,817.210022,6.774
4/1/1994,450.910004,377.908,733.840027,843.97998,7.035
5/1/1994,456.5,381.343,735.190002,864.580017,7.152
6/1/1994,444.269989,385.714,705.960022,933.450012,7.329
7/1/1994,458.26001,385.45,722.159973,1001.210022,7.095
8/1/1994,475.48999,380.207,765.619995,1020.109985,7.165
9/1/1994,462.709991,391.348,764.289978,1043.540039,7.599
10/1/1994,472.350006,390.164,777.48999,1036.060059,7.793
11/1/1994,453.690002,384.377,750.320007,1059.199951,7.888
12/1/1994,459.269989,379.48,751.960022,1052.130005,7.827
1/1/1995,470.420013,378.738,755.200012,1059.790039,7.593
2/1/1995,487.390015,376.745,793.72998,1100.050049,7.21
3/1/1995,500.709991,381.82,817.210022,1101.400024,7.189
4/1/1995,514.710022,391.339,843.97998,1190.52002,7.046
5/1/1995,533.400024,385.231,864.580017,1243.430054,6.286
6/1/1995,544.75,387.618,933.450012,1185.02002,6.203
7/1/1995,562.059998,386.138,1001.210022,1080.589966,6.429
8/1/1995,561.880005,383.502,1020.109985,1141.5,6.273
9/1/1995,584.409973,382.931,1043.540039,1226.920044,6.157
10/1/1995,581.5,383.202,1036.060059,1221.51001,6.003
11/1/1995,605.369995,385.209,1059.199951,1292.609985,5.745
12/1/1995,615.929993,387.445,1052.130005,1291.030029,5.575
1/1/1996,636.02002,398.695,1059.790039,1379.849976,5.581
2/1/1996,640.429993,404.919,1100.050049,1309,6.112
3/1/1996,645.5,396.512,1101.400024,1221.699951,6.334
4/1/1996,654.169983,392.87,1190.52002,1260.76001,6.633
5/1/1996,669.119995,391.99,1243.430054,1400.319946,6.844
6/1/1996,670.630005,385.245,1185.02002,1442.069946,6.711
7/1/1996,639.950012,383.457,1080.589966,1593.810059,6.79
8/1/1996,651.98999,387.51,1141.5,1587.319946,6.936
9/1/1996,687.330017,383.29,1226.920044,1685.689941,6.699
10/1/1996,705.27002,380.909,1221.51001,1593.609985,6.349
